Type,Customer,Address,Town,No. Machines,Latitude,Longitude,Serial Number
Vending,Fresh Fitness Hvidovre,Bibliotekvej 58,2650 Hvidovre,1,55.641218,12.468987,2122012444
Vending,Form & Figur,Christianshusvej 4B,2970 Hoersholm,1,55.9016927,12.4785916,2122012445
Vending,Fitness 24Seven AB,Stora Soedergatan 4,222 23 Lund  Sverige,1,55.7003064,13.1916769,2213002721
Vending,Stargym AB,Koepmangatan 20,852 31 Sundsvall Sverige,1,62.3885346,17.311672,2213002723
Vending,Gym & Fitness Kiruna AB,Vintergatan 3C,981 57 Kiruna  Sverige,1,67.8557995,20.2252821,2213002725
Vending,Maa Baettre AB,Vasagatan 5,777 30 Smedjebacken Sverige,1,60.1410033,15.4109822,2213002726
Vending,World Class Vilbergen,Urbergsgatan 90,603 56 Norrkoeping Sverige,1,58.5708852,16.1701659,2213002731
Vending,Maa Baettre AB,Koepmangatan 14,771 32 Ludvika Sverige,1,60.1459534,15.1867639,2213002732
Vending,Golds Gym Krokom,Tjaernaasen 176,830 51 Krokom Sverige,1,63.5648122,13.9510512,2213002733
Vending,Kockum Fritid  Café & Restaurang AB,Vaestra Varvsgatan 8,211 19 Malmoe Sverige,1,55.613966,12.9880233,2213002734
Vending,Gymnasia AB,Tullgatan 4,387 21 Borgholm,1,56.8802297,16.6562355,2213002744
Vending,Fitness 24Seven Medborgarplatsen,Fatburstrappan 6,118 26 Stockholm  Sverige,1,59.3149794,18.0704971,2213002745
Vending,Fitness World,Algade 49 3.sal,4000 Roskilde,1,55.6407398,12.0889289,2214004195
Vending,Fitness World,Jagtvej 113-115,2200 Koebenhavn N,1,55.696498,12.550941,2214004196
Vending,Fitness24Seven Majorna,Karl Johansgatan 47,414 59 Goeteborg Sverige,1,57.6968652,11.9267275,2215005467
Vending,Life n Joy AB,Prins August vaeg 4,793 35 Leksand,1,60.7157842,15.0170794,2215005468
Vending,Fitnes24Seven Katrinelund,Celciusgatan 38,212 14 Malmoe Sverige,1,55.6023851,13.0234963,2215005469
Vending,Fitness 24 Seven (Malmoe Moellevaangen),Fricksgatan 6,214 26 Malmoe Sverige,1,55.5897955,13.0076336,2215005470
Vending,Fitness 24 Seven (Uppsala centrum),Dragarbrunnsgatan 35,753 20 Uppsala Sverige,1,59.8596495,17.6394199,2215005471
Vending,Fitness 24 Seven (aengelholm Centrum),Taastrupsgatan 11,262 32 aengelholm Sverige,1,56.2427677,12.8608147,2215005473
Vending,Fitness 24 Seven (oerebro Centrum),Kungsgatan 16-22,702 11 oerebro Sverige,1,59.2701291,15.2135803,2215005474
Vending,Fitness 24 Seven (Vaexjoe Centrum),Biblioteksgatan 1-3,352 31 Vaexjoe Sverige,1,56.8796151,14.8009716,2215005475
Vending,Sportlife MW AB (Vasagatan),Vasagatan 7,411 24 Goeteborg Sverige,1,57.6975134,11.9644008,2216006482
Vending,F24S Hammarby Sjoestad,Hammarby Allé 183,120 66 Stockholm Sverige,1,59.228004,17.9349063,2216006486
Vending,Sportlife Gym & Bad i Vaest AB (Moelnlycke),Roersvaengen 17,435 35 Moelnlycke Sverige,1,57.670343,12.1580632,2216006492
Vending,Sportlife i Vaest AB (Bromma),Karlsbodavaegen 17D,168 67 Bromma Sverige,1,59.3529958,17.9552128,2216006493
Vending,Peter & Richard Traening AB,Tivolibadsgatan 4,29132 Kristianstad,1,56.0293936,14.1566778,2216006494
Vending,Sportlife MW AB (Ullevi),Parkgatan 65,411 38 Goeteborg Sverige,1,57.7069631,11.9801168,2216006495
Vending,Sportlife MW AB (City Domkyrkan),Drottninggatan 164,414 14 Goeteborg Sverige,1,57.70887,11.97456,2216006496
